program,jupyter,python_exp,pandas_skill,os,dark_mode,languages,continents,dob,wake_time,sleep_time,fav_season,caffeine,pet,fav_movie,fav_genres,hobbies,hw0
hks master's,True,1-2 years,2,macos,False,"english, french",north america,1987-11-07,1900-01-01 11:00:00,1900-01-01 23:15:00,winter,tea,pet rock,Oppenheimer,"action, sci-fi",gaming,🤞
master's (ds),True,2-4 years,3,macos,True,english,north america,2001-09-27,1900-01-01 10:45:00,1900-01-01 00:15:00,summer,coffee,pet rock,Parasite,comedy,,
master's (ds),True,1-2 years,3,macos,False,english,"europe, north america",2000-07-15,1900-01-01 11:45:00,1900-01-01 01:15:00,summer,coffee,dog,,sci-fi,,😀
master's (ds) [extension school],False,1-2 years,1,macos,True,,"europe, north america",2006-12-26,1900-01-01 09:45:00,1900-01-01 02:00:00,summer,energy drinks,cat,,horror,gaming,
master's (ds),False,4+ years,3,macos,False,"english, hindi","europe, north america",1998-07-01,1900-01-01 09:45:00,1900-01-01 01:45:00,fall,coffee,dog,,comedy,"music, running",
mit master's,True,1-2 years,2,macos,True,"english, spanish","africa, asia, europe",2003-03-11,1900-01-01 11:30:00,1900-01-01 22:30:00,spring,coffee,none,,"action, sci-fi",climbing,😴
bachelor's (statistics),True,2-4 years,3,wsl,True,english,north america,2002-06-18,1900-01-01 08:00:00,1900-01-01 01:15:00,spring,coffee,,Spirited Away,"action, sci-fi","reading, hiking",
bachelor's (statistics),True,1-2 years,2,windows,True,"english, hindi, russian, portuguese","europe, north america",,1900-01-01 07:00:00,1900-01-01 22:30:00,winter,,none,,"action, sci-fi",climbing,🤞
bachelor's (cs),True,less than 1 year,2,macos,True,english,"asia, north america",2006-02-23,1900-01-01 08:15:00,1900-01-01 22:00:00,spring,tea,fish,,"comedy, drama",climbing,😀
mit master's,True,less than 1 year,2,windows,True,"english, japanese","asia, north america",1990-02-12,1900-01-01 11:15:00,1900-01-01 23:45:00,fall,tea,dog,Interstellar,sci-fi,"music, running",
bachelor's (cs),True,1-2 years,2,macos,True,english,north america,2006-02-21,1900-01-01 07:15:00,1900-01-01 23:45:00,fall,coffee,none,Interstellar,horror,climbing,😀
mit master's,False,2-4 years,2,windows,False,"english, mandarin, spanish, cantonese","asia, north america",1995-12-14,1900-01-01 06:00:00,,fall,coffee,cat,Parasite,comedy,"reading, hiking",😴
